Cumulative sequencing depth,Fraction of target bases(%)
453,69.600883
454,69.418182
455,69.233543
456,69.051605
457,68.875832
458,68.695244
459,68.512024
460,68.334389
461,68.153862
462,67.974686
463,67.795769
464,67.619804
465,67.440887
466,67.253555
467,67.070206
468,66.890259
469,66.702988
470,66.516747
471,66.333199
472,66.148499
473,65.963478
474,65.775505
475,65.592598
476,65.403976
477,65.217224
478,65.031624
479,64.842430
480,64.654579
481,64.467888
482,64.279976
483,64.093735
484,63.912434
485,63.726257
486,63.545410
487,63.357693
488,63.175434
489,62.987782
490,62.800312
491,62.618439
492,62.427509
493,62.241070
494,62.055218
495,61.867756
496,61.686844
497,61.501694
498,61.316223
499,61.127537
500,60.936157
501,60.751007
502,60.565216
503,60.372292
504,60.183800
505,59.996593
506,59.804504
507,59.615051
508,59.425018
509,59.230812
510,59.040714
511,58.854794
512,58.667652
513,58.472866
514,58.282124
515,58.094341
516,57.905853
517,57.719803
518,57.532276
519,57.333313
520,57.149513
521,56.963654
522,56.778378
523,56.592262
524,56.403645
525,56.213356
526,56.018246
527,55.824425
528,55.634262
529,55.433113
530,55.231071
531,55.029278
532,54.832630
533,54.626472
534,54.426933
535,54.221737
536,54.013264
537,53.813595
538,53.606861
539,53.399803
540,53.189724
541,52.986271
542,52.777542
543,52.568363
544,52.355778
545,52.148853
546,51.935757
547,51.725231
548,51.519459
549,51.303791
550,51.094872
551,50.883450
552,50.670803
553,50.458347
554,50.245182
555,50.030739
556,49.812828
557,49.595745
558,49.376225
559,49.154587
560,48.923180
561,48.699482
562,48.484974
563,48.262756
564,48.046898
565,47.826733
566,47.604004
567,47.380753
568,47.156544
569,46.930603
570,46.700993
571,46.472160
572,46.239468
573,46.002087
574,45.759823
575,45.527714
576,45.294960
577,45.067471
578,44.836197
579,44.605751
580,44.373318
581,44.135941
582,43.894188
583,43.644989
584,43.404591
585,43.163933
586,42.922314
587,42.681976
588,42.441257
589,42.205677
590,41.963993
591,41.723530
592,41.476254
593,41.240543
594,40.997318
595,40.755444
596,40.513306
597,40.276699
598,40.036167
599,39.793716
600,39.548496
601,39.309639
602,39.071487
603,38.827297
604,38.582081
605,38.338917
606,38.095047
607,37.850796
608,37.609108
609,37.360229
610,37.110962
611,36.862858
612,36.620464
613,36.382828
614,36.142685
615,35.903378
616,35.657902
617,35.413006
