Sequencing depth,Fraction of target bases(%),Number of target bases
345,0.139344,2169
346,0.137096,2134
347,0.140308,2184
348,0.148274,2308
349,0.142557,2219
350,0.148210,2307
351,0.147054,2289
352,0.147375,2294
353,0.149302,2324
354,0.160352,2496
355,0.160159,2493
356,0.159196,2478
357,0.153093,2383
358,0.161444,2513
359,0.153735,2393
360,0.158553,2468
361,0.157525,2452
362,0.159838,2488
363,0.157525,2452
364,0.161508,2514
365,0.159902,2489
366,0.162151,2524
367,0.160802,2503
368,0.157718,2455
369,0.167740,2611
370,0.168639,2625
371,0.165170,2571
372,0.170952,2661
373,0.164207,2556
374,0.169218,2634
375,0.169218,2634
376,0.165042,2569
377,0.167033,2600
378,0.172301,2682
379,0.166648,2594
380,0.168190,2618
381,0.172751,2689
382,0.172494,2685
383,0.169989,2646
384,0.180653,2812
385,0.178469,2778
386,0.172109,2679
387,0.175257,2728
388,0.175963,2739
389,0.178405,2777
390,0.172687,2688
391,0.180396,2808
392,0.177891,2769
393,0.178019,2771
394,0.169796,2643
395,0.181809,2830
396,0.176092,2741
397,0.181360,2823
398,0.184636,2874
399,0.177055,2756
400,0.176606,2749
401,0.180717,2813
402,0.188170,2929
403,0.182452,2840
404,0.182645,2843
405,0.185664,2890
406,0.188041,2927
407,0.182002,2833
408,0.177441,2762
409,0.182645,2843
410,0.185343,2885
411,0.186178,2898
412,0.189519,2950
413,0.177634,2765
414,0.181681,2828
415,0.180653,2812
416,0.183094,2850
417,0.180203,2805
418,0.188683,2937
419,0.184508,2872
420,0.187334,2916
421,0.184829,2877
422,0.183351,2854
423,0.180139,2804
424,0.186306,2900
425,0.184572,2873
426,0.184508,2872
427,0.184443,2871
428,0.183801,2861
429,0.180589,2811
430,0.186756,2907
431,0.188812,2939
432,0.180525,2810
433,0.185279,2884
434,0.188619,2936
435,0.180396,2808
436,0.183094,2850
437,0.182580,2842
438,0.186756,2907
439,0.183929,2863
440,0.182002,2833
441,0.187527,2919
442,0.184765,2876
443,0.185279,2884
444,0.191767,2985
445,0.185857,2893
446,0.180589,2811
447,0.183094,2850
448,0.187784,2923
449,0.180460,2809
450,0.187720,2922
451,0.182002,2833
452,0.184765,2876
453,0.182709,2844
454,0.184636,2874
455,0.181938,2832
456,0.175771,2736
457,0.180589,2811
458,0.183223,2852
459,0.177634,2765
460,0.180525,2810
461,0.179175,2789
462,0.178918,2785
463,0.175963,2739
464,0.178918,2785
465,0.187334,2916
466,0.183351,2854
467,0.179946,2801
468,0.187270,2915
469,0.186242,2899
470,0.183544,2857
471,0.184700,2875
472,0.185022,2880
473,0.187977,2926
474,0.182902,2847
475,0.188619,2936
476,0.186756,2907
477,0.185600,2889
478,0.189197,2945
479,0.187848,2924
480,0.186692,2906
481,0.187913,2925
482,0.186242,2899
483,0.181295,2822
484,0.186178,2898
485,0.180846,2815
486,0.187720,2922
487,0.182259,2837
488,0.187656,2921
489,0.187463,2918
490,0.181874,2831
491,0.190932,2972
492,0.186435,2902
493,0.185857,2893
494,0.187463,2918
495,0.180910,2816
496,0.185150,2882
497,0.185471,2887
498,0.188683,2937
499,0.191382,2979
500,0.185150,2882
501,0.185793,2892
502,0.192924,3003
503,0.188491,2934
504,0.187206,2914
505,0.192088,2990
506,0.189454,2949
507,0.190033,2958
508,0.194208,3023
509,0.190097,2959
510,0.185921,2894
511,0.187142,2913
512,0.194787,3032
513,0.190739,2969
514,0.187784,2923
515,0.188491,2934
516,0.186049,2896
517,0.187527,2919
518,0.198962,3097
519,0.183801,2861
520,0.185857,2893
521,0.185279,2884
522,0.186114,2897
523,0.188619,2936
524,0.190290,2962
525,0.195108,3037
526,0.193823,3017
527,0.190161,2960
528,0.201147,3131
529,0.202046,3145
530,0.201789,3141
531,0.196650,3061
532,0.206158,3209
533,0.199541,3106
534,0.205194,3194
535,0.208471,3245
536,0.199669,3108
537,0.206736,3218
538,0.207057,3223
539,0.210077,3270
540,0.203460,3167
541,0.208728,3249
542,0.209177,3256
543,0.212582,3309
544,0.206929,3221
545,0.213096,3317
546,0.210526,3277
547,0.205772,3203
548,0.215666,3357
549,0.208920,3252
550,0.211426,3291
551,0.212646,3310
552,0.212454,3307
553,0.213160,3318
554,0.214445,3338
555,0.217914,3392
556,0.217079,3379
557,0.219520,3417
558,0.221640,3450
559,0.231405,3602
560,0.223696,3482
561,0.214509,3339
562,0.222219,3459
563,0.215859,3360
564,0.220163,3427
565,0.222733,3467
566,0.223247,3475
567,0.224210,3490
568,0.225945,3517
569,0.229607,3574
570,0.228836,3562
571,0.232690,3622
572,0.237380,3695
573,0.242263,3771
574,0.232112,3613
575,0.232755,3623
576,0.227487,3541
577,0.231277,3600
578,0.230442,3587
579,0.232433,3618
580,0.237380,3695
581,0.241749,3763
582,0.249201,3879
583,0.240400,3742
584,0.240657,3746
585,0.241620,3761
586,0.240335,3741
587,0.240721,3747
588,0.235581,3667
589,0.241684,3762
590,0.240464,3743
591,0.247274,3849
592,0.235710,3669
593,0.243226,3786
594,0.241877,3765
595,0.242134,3769
596,0.236609,3683
597,0.240528,3744
598,0.242455,3774
599,0.245218,3817
600,0.238858,3718
601,0.238151,3707
602,0.244190,3801
603,0.245218,3817
604,0.243162,3785
605,0.243869,3796
606,0.244254,3802
607,0.241684,3762
608,0.248880,3874
609,0.249265,3880
610,0.248109,3862
611,0.242391,3773
612,0.237637,3699
613,0.240143,3738
614,0.239307,3725
615,0.245475,3821
616,0.244897,3812
617,0.246824,3842
618,0.240657,3746
619,0.243740,3794
620,0.245860,3827
621,0.240464,3743
622,0.245989,3829
623,0.237187,3692
624,0.246760,3841
625,0.245668,3824
626,0.241684,3762
627,0.250743,3903
628,0.240078,3737
629,0.238665,3715
630,0.243612,3792
631,0.242905,3781
632,0.244961,3813
633,0.240528,3744
634,0.244126,3800
635,0.241492,3759
636,0.240335,3741
637,0.239243,3724
638,0.236930,3688
639,0.240592,3745
640,0.231213,3599
641,0.238858,3718
642,0.240271,3740
643,0.236416,3680
644,0.228707,3560
645,0.230506,3588
646,0.226716,3529
647,0.228065,3550
648,0.233911,3641
649,0.233783,3639
650,0.229285,3569
651,0.231405,3602
652,0.227808,3546
653,0.227551,3542
654,0.227358,3539
655,0.229478,3572
656,0.229478,3572
657,0.228771,3561
658,0.226973,3533
659,0.221576,3449
660,0.219520,3417
661,0.224853,3500
662,0.217079,3379
663,0.220934,3439
664,0.220677,3435
665,0.224403,3493
666,0.215280,3351
667,0.216308,3367
668,0.209627,3263
669,0.215859,3360
670,0.206607,3216
671,0.217208,3381
672,0.216822,3375
673,0.213417,3322
674,0.216372,3368
675,0.211554,3293
676,0.215859,3360
677,0.204487,3183
678,0.209948,3268
679,0.208792,3250
680,0.211426,3291
681,0.209691,3264
682,0.210783,3281
683,0.200312,3118
684,0.204937,3190
685,0.199284,3102
686,0.197035,3067
687,0.196650,3061
688,0.196264,3055
689,0.191896,2987
690,0.195365,3041
691,0.196650,3061
692,0.192088,2990
693,0.191574,2982
694,0.190097,2959
695,0.182773,2845
696,0.187463,2918
697,0.191639,2983
698,0.190804,2970
699,0.181038,2818
700,0.181681,2828
701,0.185985,2895
702,0.174614,2718
703,0.185471,2887
704,0.178340,2776
705,0.181360,2823
706,0.182002,2833
707,0.178276,2775
708,0.173779,2705
709,0.173586,2702
710,0.167419,2606
711,0.170117,2648
712,0.164335,2558
713,0.165749,2580
714,0.163885,2551
715,0.165299,2573
716,0.157011,2444
717,0.158168,2462
718,0.162729,2533
719,0.156369,2434
720,0.162408,2528
721,0.152900,2380
722,0.151936,2365
723,0.160031,2491
724,0.152964,2381
725,0.160609,2500
726,0.155534,2421
727,0.152964,2381
728,0.154699,2408
729,0.151294,2355
730,0.147503,2296
731,0.148981,2319
732,0.142557,2219
733,0.142428,2217
734,0.147054,2289
735,0.141593,2204
736,0.140180,2182
737,0.140115,2181
738,0.135233,2105
739,0.136839,2130
740,0.136775,2129
741,0.138766,2160
742,0.131764,2051
743,0.125468,1953
744,0.130543,2032
745,0.128166,1995
746,0.125596,1955
747,0.127973,1992
748,0.123219,1918
749,0.121228,1887
750,0.120842,1881
751,0.126110,1963
752,0.121163,1886
753,0.120328,1873
754,0.114418,1781
755,0.121099,1885
756,0.113133,1761
757,0.114868,1788
758,0.113647,1769
759,0.112105,1745
760,0.116152,1808
761,0.115060,1791
762,0.104524,1627
763,0.111270,1732
764,0.106837,1663
765,0.101248,1576
766,0.104332,1624
767,0.104653,1629
768,0.104139,1621
769,0.101505,1580
770,0.104717,1630
771,0.099449,1548
772,0.101248,1576
773,0.095851,1492
774,0.093089,1449
775,0.090969,1416
776,0.089491,1393
777,0.087757,1366
778,0.093089,1449
779,0.090262,1405
780,0.085444,1330
781,0.087114,1356
782,0.091162,1419
783,0.087307,1359
784,0.093282,1452
785,0.087179,1357
786,0.085894,1337
787,0.086022,1339
788,0.087885,1368
789,0.081140,1263
790,0.081525,1269
791,0.080690,1256
792,0.084994,1323
793,0.080690,1256
794,0.076064,1184
795,0.077221,1202
796,0.079598,1239
797,0.076578,1192
