Sequencing depth,Fraction of target bases(%),Number of target bases
373,0.000771,12
374,0.000835,13
375,0.000771,12
376,0.000642,10
377,0.000771,12
378,0.000707,11
379,0.000899,14
380,0.001028,16
381,0.000835,13
382,0.000450,7
383,0.000899,14
384,0.001028,16
385,0.000835,13
386,0.000964,15
387,0.000514,8
388,0.000899,14
389,0.000771,12
390,0.001092,17
391,0.000899,14
392,0.000642,10
393,0.001156,18
394,0.001156,18
395,0.000964,15
396,0.000771,12
397,0.000835,13
398,0.000964,15
399,0.001221,19
400,0.000771,12
401,0.000771,12
402,0.001028,16
403,0.000899,14
404,0.001028,16
405,0.000835,13
406,0.000964,15
407,0.000771,12
408,0.001221,19
409,0.000707,11
410,0.000835,13
411,0.000642,10
412,0.001092,17
413,0.001092,17
414,0.000899,14
415,0.000899,14
416,0.001413,22
417,0.001156,18
418,0.000835,13
419,0.000771,12
420,0.000771,12
421,0.000578,9
422,0.001542,24
423,0.001221,19
424,0.001349,21
425,0.001092,17
426,0.000707,11
427,0.001221,19
428,0.001092,17
429,0.001542,24
430,0.001156,18
431,0.000578,9
432,0.001221,19
433,0.001221,19
434,0.001285,20
435,0.001349,21
436,0.000899,14
437,0.000835,13
438,0.000899,14
439,0.000450,7
440,0.001285,20
441,0.001413,22
442,0.001156,18
443,0.001863,29
444,0.000899,14
445,0.001285,20
446,0.001092,17
447,0.001413,22
448,0.001221,19
449,0.000899,14
450,0.001542,24
451,0.000964,15
452,0.001092,17
453,0.001606,25
454,0.001092,17
455,0.001285,20
456,0.001606,25
457,0.001221,19
458,0.000771,12
459,0.001156,18
460,0.001799,28
461,0.001156,18
462,0.001221,19
463,0.001156,18
464,0.001156,18
465,0.001092,17
466,0.001606,25
467,0.001028,16
468,0.001927,30
469,0.001927,30
470,0.001092,17
471,0.001028,16
472,0.001927,30
473,0.001285,20
474,0.001670,26
475,0.001349,21
476,0.001413,22
477,0.001799,28
478,0.001413,22
479,0.001221,19
480,0.001670,26
481,0.001606,25
482,0.001606,25
483,0.001542,24
484,0.001670,26
485,0.001413,22
486,0.001413,22
487,0.002377,37
488,0.001799,28
489,0.001285,20
490,0.001478,23
491,0.001735,27
492,0.001478,23
493,0.001349,21
494,0.002056,32
495,0.001992,31
496,0.000964,15
497,0.001606,25
498,0.001092,17
499,0.002120,33
500,0.002249,35
501,0.001542,24
502,0.001028,16
503,0.002377,37
504,0.001863,29
505,0.002184,34
506,0.002184,34
507,0.001542,24
508,0.001478,23
509,0.001542,24
510,0.001735,27
511,0.002184,34
512,0.002120,33
513,0.002120,33
514,0.002249,35
515,0.002570,40
516,0.001799,28
517,0.001542,24
518,0.001670,26
519,0.001735,27
520,0.001927,30
521,0.002249,35
522,0.002377,37
523,0.001799,28
524,0.001670,26
525,0.001799,28
526,0.002313,36
527,0.001606,25
528,0.001927,30
529,0.001927,30
530,0.001927,30
531,0.001606,25
532,0.002120,33
533,0.002056,32
534,0.002313,36
535,0.001542,24
536,0.002120,33
537,0.002570,40
538,0.001413,22
539,0.002056,32
540,0.001992,31
