Cycle,R1Counts,R2Counts,R1_UnmCounts,R1_UnmRate,R1_SclipCounts,R1_ScRate,R1_InsertCounts,R1_InsRate,R1_SnvCounts,R1_SnvRate,R1_TotalMisCounts,R1_TotalRate,R2_UnmCounts,R2_UnmRate,R2_SclipCounts,R2_ScRate,R2_InsertCounts,R2_InsRate,R2_SnvCounts,R2_SnvRate,R2_TotalMisCounts,R2_TotalRate
51,10912257,10912257,2050,0.000188,40170,0.003681,805,0.000074,38323,0.003512,81348,0.007455,68636,0.006290,76461,0.007007,771,0.000071,59569,0.005459,205437,0.018826
52,10912257,10912257,2050,0.000188,42340,0.003880,764,0.000070,38138,0.003495,83292,0.007633,68636,0.006290,80249,0.007354,751,0.000069,60040,0.005502,209676,0.019215
53,10912257,10912257,2050,0.000188,44342,0.004064,786,0.000072,38791,0.003555,85969,0.007878,68636,0.006290,83997,0.007697,762,0.000070,59865,0.005486,213260,0.019543
54,10912257,10912257,2050,0.000188,46352,0.004248,716,0.000066,39117,0.003585,88235,0.008086,68636,0.006290,87593,0.008027,714,0.000065,60648,0.005558,217591,0.019940
55,10912257,10912257,2050,0.000188,48297,0.004426,669,0.000061,39226,0.003595,90242,0.008270,68636,0.006290,90948,0.008334,717,0.000066,61391,0.005626,221692,0.020316
56,10912257,10912257,2050,0.000188,50892,0.004664,650,0.000060,39450,0.003615,93042,0.008526,68636,0.006290,95764,0.008776,674,0.000062,60717,0.005564,225791,0.020692
57,10912257,10912257,2050,0.000188,53419,0.004895,635,0.000058,39783,0.003646,95887,0.008787,68636,0.006290,100378,0.009199,663,0.000061,60372,0.005532,230049,0.021082
58,10912257,10912257,2050,0.000188,55821,0.005115,573,0.000053,40689,0.003729,99133,0.009085,68636,0.006290,104859,0.009609,607,0.000056,60682,0.005561,234784,0.021516
59,10912257,10912257,2050,0.000188,58104,0.005325,572,0.000052,40598,0.003720,101324,0.009285,68636,0.006290,108969,0.009986,577,0.000053,61369,0.005624,239551,0.021952
60,10912257,10912257,2050,0.000188,60194,0.005516,548,0.000050,41126,0.003769,103918,0.009523,68636,0.006290,112931,0.010349,546,0.000050,61052,0.005595,243165,0.022284
