Cumulative sequencing depth,Fraction of target bases(%)
453,99.100456
454,99.098854
455,99.097763
456,99.096474
457,99.094872
458,99.093651
459,99.092880
460,99.091728
461,99.089928
462,99.088768
463,99.087547
464,99.086395
465,99.085236
466,99.084145
467,99.082535
468,99.081512
469,99.079582
470,99.077652
471,99.076561
472,99.075531
473,99.073608
474,99.072319
475,99.070648
476,99.069305
477,99.067894
478,99.066093
479,99.064674
480,99.063454
481,99.061790
482,99.060181
483,99.058571
484,99.057030
485,99.055359
486,99.053947
487,99.052536
488,99.050156
489,99.048355
490,99.047073
491,99.045601
492,99.043861
493,99.042389
494,99.041031
495,99.038986
496,99.036987
497,99.036026
498,99.034416
499,99.033325
500,99.031204
501,99.028954
502,99.027412
503,99.026390
504,99.024010
505,99.022148
506,99.019966
507,99.017784
508,99.016235
509,99.014755
510,99.013214
511,99.011482
512,99.009300
513,99.007179
514,99.005058
515,99.002808
516,99.000237
517,98.998436
518,98.996902
519,98.995232
520,98.993500
521,98.991570
522,98.989319
523,98.986938
524,98.985138
525,98.983475
526,98.981674
527,98.979362
528,98.977753
529,98.975830
530,98.973900
531,98.971977
532,98.970367
533,98.968246
534,98.966194
535,98.963882
536,98.962334
537,98.960213
538,98.957649
539,98.956230
540,98.954178
541,98.952187
542,98.950836
543,98.948906
544,98.946793
545,98.944923
546,98.942741
547,98.940880
548,98.939339
549,98.936897
550,98.934906
551,98.932716
552,98.930725
553,98.928871
554,98.926102
555,98.923920
556,98.921989
557,98.919228
558,98.916664
559,98.915115
560,98.912933
561,98.910622
562,98.908440
563,98.906120
564,98.903236
565,98.900665
566,98.898354
567,98.895905
568,98.893661
569,98.891479
570,98.889229
571,98.886147
572,98.883507
573,98.881073
574,98.878822
575,98.876892
576,98.875031
577,98.872528
578,98.870018
579,98.867706
580,98.864944
581,98.862633
582,98.859673
583,98.857170
584,98.854088
585,98.851135
586,98.848045
587,98.845032
588,98.841240
589,98.838737
590,98.835388
591,98.831596
592,98.828522
593,98.824982
594,98.822479
595,98.820229
596,98.817276
597,98.814896
598,98.811241
599,98.809242
600,98.806290
601,98.803268
602,98.800957
603,98.797356
604,98.794151
605,98.790619
606,98.788239
607,98.785736
608,98.783424
609,98.779884
610,98.776993
611,98.773270
612,98.769859
613,98.767426
614,98.764404
615,98.761192
616,98.758682
617,98.755730
618,98.752647
619,98.750336
620,98.747124
621,98.743141
622,98.740181
623,98.736778
624,98.733826
625,98.730293
626,98.726311
627,98.722641
628,98.719498
629,98.716286
630,98.713135
631,98.709923
632,98.706520
633,98.703629
634,98.699646
635,98.695984
636,98.692192
637,98.688850
638,98.685318
639,98.681984
640,98.678703
641,98.675232
642,98.671051
643,98.666939
644,98.663994
645,98.660522
646,98.656731
647,98.653069
648,98.648575
649,98.645363
650,98.642334
651,98.637840
652,98.634819
653,98.631416
654,98.627625
655,98.623451
656,98.618889
657,98.615227
658,98.610672
659,98.607323
660,98.603531
661,98.599876
662,98.596344
663,98.591972
664,98.587730
665,98.583557
666,98.578804
667,98.574371
668,98.570457
669,98.566147
670,98.561584
671,98.557022
672,98.553810
673,98.549637
674,98.545395
675,98.540451
676,98.535889
677,98.531326
678,98.526764
679,98.522781
680,98.518738
681,98.513397
682,98.509094
683,98.505371
684,98.499008
685,98.493942
686,98.488670
687,98.482758
688,98.477364
689,98.472931
690,98.468109
691,98.463806
692,98.458664
693,98.454041
694,98.449478
695,98.443954
696,98.438560
697,98.434380
698,98.428856
699,98.424110
700,98.420120
701,98.415367
702,98.410484
703,98.405602
704,98.400139
705,98.394035
706,98.388763
707,98.383308
708,98.378624
709,98.373734
710,98.368279
711,98.362625
712,98.357292
713,98.351059
714,98.344826
715,98.340523
716,98.334297
717,98.329086
718,98.324142
719,98.319321
720,98.313606
721,98.308144
722,98.302170
723,98.295616
724,98.289124
725,98.283669
726,98.277695
727,98.272232
728,98.266579
729,98.261826
730,98.257393
731,98.252060
732,98.246857
733,98.241203
734,98.235741
735,98.229507
736,98.222443
737,98.216721
738,98.210945
739,98.204773
740,98.199059
741,98.193275
742,98.186592
743,98.181267
744,98.175743
745,98.170593
746,98.164436
747,98.158714
748,98.152290
749,98.145988
750,98.139885
751,98.133270
752,98.126724
753,98.120102
754,98.113548
755,98.107704
756,98.101280
757,98.094925
758,98.088684
759,98.083038
760,98.076996
761,98.070572
762,98.062859
763,98.055603
764,98.049820
765,98.043716
766,98.038063
767,98.032219
768,98.026047
769,98.020401
770,98.014229
771,98.008514
772,98.003113
773,97.996429
774,97.990845
775,97.985390
776,97.978508
777,97.972092
778,97.965469
779,97.958527
780,97.951523
781,97.944908
782,97.937653
783,97.931099
784,97.925507
785,97.919342
786,97.911766
787,97.906105
788,97.899620
789,97.893265
790,97.886772
791,97.879639
792,97.871864
793,97.865250
794,97.859146
795,97.852661
796,97.845467
797,97.837624
798,97.831139
799,97.824776
800,97.817451
801,97.810188
802,97.802933
803,97.793999
804,97.786423
805,97.778648
806,97.770744
807,97.763680
