Cycle,R1Counts,R2Counts,R1_UnmCounts,R1_UnmRate,R1_SclipCounts,R1_ScRate,R1_InsertCounts,R1_InsRate,R1_SnvCounts,R1_SnvRate,R1_TotalMisCounts,R1_TotalRate,R2_UnmCounts,R2_UnmRate,R2_SclipCounts,R2_ScRate,R2_InsertCounts,R2_InsRate,R2_SnvCounts,R2_SnvRate,R2_TotalMisCounts,R2_TotalRate
35,89032048,89032048,469536,0.005274,273544,0.003072,12326,0.000138,389031,0.004370,1144437,0.012854,132519,0.001488,195736,0.002198,12529,0.000141,329631,0.003702,670415,0.007530
36,89032048,89032048,469536,0.005274,292503,0.003285,12236,0.000137,389611,0.004376,1163886,0.013073,132519,0.001488,210833,0.002368,12443,0.000140,330222,0.003709,686017,0.007705
37,89032048,89032048,469536,0.005274,313083,0.003517,12181,0.000137,392015,0.004403,1186815,0.013330,132519,0.001488,227388,0.002554,12515,0.000141,331530,0.003724,703952,0.007907
38,89032048,89032048,469536,0.005274,334423,0.003756,11975,0.000135,398133,0.004472,1214067,0.013636,132519,0.001488,244172,0.002743,12387,0.000139,334920,0.003762,723998,0.008132
39,89032048,89032048,469536,0.005274,355931,0.003998,12048,0.000135,401248,0.004507,1238763,0.013914,132519,0.001488,261710,0.002940,12432,0.000140,340271,0.003822,746932,0.008389
40,89032048,89032048,469536,0.005274,378094,0.004247,12120,0.000136,404803,0.004547,1264553,0.014203,132519,0.001488,279387,0.003138,12628,0.000142,344864,0.003873,769398,0.008642
41,89032048,89032048,469536,0.005274,401826,0.004513,11884,0.000133,405633,0.004556,1288879,0.014477,132519,0.001488,298004,0.003347,12474,0.000140,344391,0.003868,787388,0.008844
42,89032048,89032048,469536,0.005274,426496,0.004790,11831,0.000133,406598,0.004567,1314461,0.014764,132519,0.001488,316991,0.003560,12341,0.000139,346440,0.003891,808291,0.009079
43,89032048,89032048,469536,0.005274,451963,0.005076,11460,0.000129,409467,0.004599,1342426,0.015078,132519,0.001488,336833,0.003783,12247,0.000138,348781,0.003917,830380,0.009327
44,89032048,89032048,469536,0.005274,477359,0.005362,11374,0.000128,411808,0.004625,1370077,0.015389,132519,0.001488,356819,0.004008,11918,0.000134,351982,0.003953,853238,0.009583
45,89032048,89032048,469536,0.005274,503305,0.005653,11076,0.000124,412840,0.004637,1396757,0.015688,132519,0.001488,376812,0.004232,11871,0.000133,354377,0.003980,875579,0.009834
46,89032048,89032048,469536,0.005274,531622,0.005971,10864,0.000122,411988,0.004627,1424010,0.015994,132519,0.001488,398779,0.004479,11669,0.000131,354518,0.003982,897485,0.010080
47,89032048,89032048,469536,0.005274,560081,0.006291,10626,0.000119,414962,0.004661,1455205,0.016345,132519,0.001488,420839,0.004727,11328,0.000127,354678,0.003984,919364,0.010326
48,89032048,89032048,469536,0.005274,588931,0.006615,10310,0.000116,420445,0.004722,1489222,0.016727,132519,0.001488,443699,0.004984,10905,0.000122,359172,0.004034,946295,0.010629
49,89032048,89032048,469536,0.005274,617849,0.006940,9936,0.000112,423714,0.004759,1521035,0.017084,132519,0.001488,466663,0.005242,10907,0.000123,364890,0.004098,974979,0.010951
50,89032048,89032048,469536,0.005274,646307,0.007259,9911,0.000111,428288,0.004810,1554042,0.017455,132519,0.001488,489179,0.005494,10400,0.000117,369624,0.004152,1001722,0.011251
51,89032048,89032048,469536,0.005274,678705,0.007623,9756,0.000110,426810,0.004794,1584807,0.017800,132519,0.001488,514619,0.005780,10133,0.000114,368169,0.004135,1025440,0.011518
52,89032048,89032048,469536,0.005274,710312,0.007978,9810,0.000110,423254,0.004754,1612912,0.018116,132519,0.001488,539437,0.006059,10101,0.000113,365826,0.004109,1047883,0.011770
